index,period,attendances,breaches
1,2017-03-01,21289,2879
2,2017-03-01,813,22
3,2017-03-01,2850,6
4,2017-03-01,30210,5902
5,2017-03-01,807,11
6,2017-03-01,11352,136
7,2017-03-01,4381,2
8,2017-03-01,19562,258
9,2017-03-01,17414,2030
10,2017-03-01,7817,86
11,2017-03-01,6654,1322
12,2017-03-01,3844,140
13,2017-03-01,1069,0
14,2017-03-01,2147,0
15,2017-03-01,12649,473
16,2017-03-01,544,5
17,2017-03-01,12385,2092
18,2017-03-01,832,0
19,2017-03-01,2939,5
20,2017-03-01,4068,0
21,2017-03-01,10300,635
22,2017-03-01,4676,0
23,2017-03-01,10020,2632
24,2017-03-01,4274,68
25,2017-03-01,11156,190
26,2017-03-01,17810,4153
27,2017-03-01,2122,1
28,2017-03-01,5027,186
29,2017-03-01,9239,968
30,2017-03-01,1163,4
31,2017-03-01,18137,2993
32,2017-03-01,6527,113
33,2017-03-01,12137,4874
34,2017-03-01,16738,126
35,2017-03-01,9020,281
36,2017-03-01,5561,62
37,2017-03-01,15077,2170
38,2017-03-01,856,0
39,2017-03-01,741,0
40,2017-03-01,657,0
41,2017-03-01,19072,3267
42,2017-03-01,3288,0
43,2017-03-01,1977,0
44,2017-03-01,13430,1667
45,2017-03-01,1195,0
46,2017-03-01,2541,0
47,2017-03-01,5838,1889
48,2017-03-01,8448,59
49,2017-03-01,3125,0
50,2017-03-01,3373,0
51,2017-03-01,8528,990
52,2017-03-01,12059,1252
53,2017-03-01,9912,0
54,2017-03-01,2414,0
55,2017-03-01,5592,0
56,2017-03-01,2644,0
57,2017-03-01,11981,1075
58,2017-03-01,6402,306
59,2017-03-01,3110,0
60,2017-03-01,5732,173
61,2017-03-01,5360,272
62,2017-03-01,4580,0
63,2017-03-01,9567,766
64,2017-03-01,3439,2
65,2017-03-01,6889,631
66,2017-03-01,2410,4
67,2017-03-01,7562,651
68,2017-03-01,4545,0
69,2017-03-01,6304,77
70,2017-03-01,11780,1773
71,2017-03-01,4466,0
72,2017-03-01,5316,0
73,2017-03-01,1710,3
74,2017-03-01,9376,2290
75,2017-03-01,4832,0
76,2017-03-01,615,1
77,2017-03-01,6726,799
78,2017-03-01,2159,0
79,2017-03-01,2116,0
80,2017-03-01,19628,3654
81,2017-03-01,3528,53
82,2017-03-01,987,15
83,2017-03-01,3766,405
84,2017-03-01,7321,560
85,2017-03-01,531,0
86,2017-03-01,6301,318
87,2017-03-01,55,0
88,2017-03-01,7653,1546
89,2017-03-01,451,0
90,2017-03-01,14325,142
91,2017-03-01,3886,80
92,2017-03-01,8814,172
93,2017-03-01,4029,0
94,2017-03-01,368,0
95,2017-03-01,575,1
96,2017-03-01,621,0
97,2017-03-01,8163,1371
98,2017-03-01,428,7
99,2017-03-01,7692,887
100,2017-03-01,4697,10
101,2017-03-01,3822,0
102,2017-03-01,10075,1372
103,2017-03-01,971,0
104,2017-03-01,7832,993
105,2017-03-01,828,0
106,2017-03-01,9027,1336
107,2017-03-01,1104,6
108,2017-03-01,5502,0
109,2017-03-01,5046,459
110,2017-03-01,15446,3187
111,2017-03-01,1564,12
112,2017-03-01,220,0
113,2017-03-01,2994,17
114,2017-03-01,272,0
115,2017-03-01,309,1
116,2017-03-01,2300,0
117,2017-03-01,14665,2828
118,2017-03-01,2087,39
119,2017-03-01,2783,0
120,2017-03-01,8842,599
121,2017-03-01,4169,26
122,2017-03-01,10371,2217
123,2017-03-01,1673,0
124,2017-03-01,1987,0
125,2017-03-01,5493,0
126,2017-03-01,5572,198
127,2017-03-01,663,0
128,2017-03-01,8595,680
129,2017-03-01,2009,0
130,2017-03-01,3329,0
131,2017-03-01,9006,679
132,2017-03-01,6393,0
133,2017-03-01,8737,1935
134,2017-03-01,5320,496
135,2017-03-01,11505,1651
136,2017-03-01,8651,104
137,2017-03-01,13111,2737
138,2017-03-01,10032,1543
139,2017-03-01,11986,3213
140,2017-03-01,2081,47
141,2017-03-01,2187,2
142,2017-03-01,12697,3227
143,2017-03-01,1850,19
144,2017-03-01,6073,69
145,2017-03-01,15129,4019
146,2017-03-01,429,0
147,2017-03-01,4774,91
148,2017-03-01,6360,1986
149,2017-03-01,3809,1
150,2017-03-01,4019,0
151,2017-03-01,8042,2644
152,2017-03-01,4023,3
153,2017-03-01,5887,419
154,2017-03-01,9976,2711
155,2017-03-01,5581,2
156,2017-03-01,4618,915
157,2017-03-01,3060,0
158,2017-03-01,7186,1449
159,2017-03-01,7197,0
160,2017-03-01,5480,379
161,2017-03-01,5349,216
162,2017-03-01,7146,537
163,2017-03-01,7064,2208
164,2017-03-01,9520,8
165,2017-03-01,8492,1563
166,2017-03-01,1072,1
167,2017-03-01,11362,864
168,2017-03-01,1635,2
169,2017-03-01,8073,230
170,2017-03-01,12967,337
171,2017-03-01,13272,2106
172,2017-03-01,3620,18
173,2017-03-01,10219,28
174,2017-03-01,7844,795
175,2017-03-01,2497,8
176,2017-03-01,2729,2
177,2017-03-01,6019,922
178,2017-03-01,598,5
179,2017-03-01,10733,752
180,2017-03-01,10497,0
181,2017-03-01,1781,50
182,2017-03-01,11271,1035
183,2017-03-01,2715,0
184,2017-03-01,3998,704
185,2017-03-01,262,0
186,2017-03-01,8923,2562
187,2017-03-01,7884,401
188,2017-03-01,88,0
189,2017-03-01,7781,409
190,2017-03-01,2448,3
191,2017-03-01,3975,135
192,2017-03-01,895,0
193,2017-03-01,11425,690
194,2017-03-01,1402,2
195,2017-03-01,1621,0
196,2017-03-01,5770,1793
197,2017-03-01,6424,208
198,2017-03-01,2559,0
199,2017-03-01,18152,1844
200,2017-03-01,2100,0
201,2017-03-01,4280,0
202,2017-03-01,2541,0
203,2017-03-01,1139,15
204,2017-03-01,3222,0
205,2017-03-01,5708,205
206,2017-03-01,1649,0
207,2017-03-01,20398,1515
208,2017-03-01,7821,1185
209,2017-03-01,5840,254
210,2017-03-01,1744,2
211,2017-03-01,2011,0
212,2017-03-01,6745,192
213,2017-03-01,11630,2006
214,2017-03-01,1497,1
215,2017-03-01,8260,671
216,2017-03-01,8306,54
217,2017-03-01,22930,4997
218,2017-03-01,4301,96
219,2017-03-01,3463,0
220,2017-03-01,1042,0
221,2017-03-01,7715,2040
222,2017-03-01,1761,28
223,2017-03-01,10500,0
224,2017-03-01,8898,1355
225,2017-03-01,3173,0
226,2017-03-01,5440,227
227,2017-03-01,9335,2094
228,2017-03-01,1364,0
229,2017-03-01,6906,40
230,2017-03-01,10362,558
231,2017-03-01,5164,0
232,2017-03-01,5071,99
233,2017-03-01,669,1
234,2017-03-01,6542,1384
235,2017-03-01,5161,6
236,2017-03-01,8808,1757
237,2017-03-01,5611,54
238,2017-03-01,8174,1652
239,2017-03-01,7390,869
240,2017-03-01,10697,1131
241,2017-03-01,1997,40
242,2017-03-01,4685,0
243,2017-03-01,6515,1054
244,2017-03-01,4146,0
245,2017-03-01,8420,685
246,2017-03-01,7121,1411
247,2017-03-01,1823,75
248,2017-03-01,6890,953
249,2017-03-01,3827,39
250,2017-03-01,4696,29
251,2017-03-01,8068,1965
252,2017-03-01,2629,40
253,2017-03-01,452,0
254,2017-03-01,7741,936
255,2017-03-01,9036,1664
256,2017-03-01,6659,16
257,2017-03-01,8355,1383
258,2017-03-01,1581,0
259,2017-03-01,3368,3
260,2017-03-01,3175,95
261,2017-03-01,5523,0
262,2017-03-01,3280,1
263,2017-03-01,12686,2158
264,2017-03-01,1177,1
265,2017-03-01,4636,1
266,2017-03-01,7101,873
267,2017-03-01,1318,0
268,2017-03-01,3611,15
269,2017-03-01,2315,12
270,2017-03-01,1194,0
271,2017-03-01,8522,15
272,2017-03-01,8866,904
273,2017-03-01,1823,1
274,2017-03-01,3607,69
275,2017-03-01,4019,2
276,2017-03-01,12737,3548
277,2017-03-01,5216,13
278,2017-03-01,9442,1822
279,2017-03-01,782,0
280,2017-03-01,20403,1745
281,2017-03-01,5799,22
282,2017-03-01,11503,2555
283,2017-03-01,6515,1826
284,2017-03-01,5725,89
285,2017-03-01,9087,410
286,2017-03-01,1206,0
287,2017-03-01,751,1
288,2017-03-01,3477,788
