index,period,org_code,type,attendances,breaches,admissions,performance
1,2017-03-01,RF4,1,21289,2879,5060,0.86
2,2017-03-01,RF4,2,813,22,0,0.97
3,2017-03-01,RF4,other,2850,6,0,1
4,2017-03-01,R1H,1,30210,5902,6943,0.8
5,2017-03-01,R1H,2,807,11,0,0.99
6,2017-03-01,R1H,other,11352,136,0,0.99
7,2017-03-01,AD913,other,4381,2,0,1
8,2017-03-01,RYX,other,19562,258,0,0.99
9,2017-03-01,RQM,1,17414,2030,3597,0.88
10,2017-03-01,RQM,other,7817,86,0,0.99
11,2017-03-01,RJ6,1,6654,1322,2202,0.8
12,2017-03-01,RJ6,other,3844,140,0,0.96
13,2017-03-01,Y02696,other,1069,0,0,1
14,2017-03-01,NX122,other,2147,0,0,1
15,2017-03-01,RVR,1,12649,473,3360,0.96
16,2017-03-01,RVR,2,544,5,7,0.99
17,2017-03-01,RJ1,1,12385,2092,3181,0.83
18,2017-03-01,RJ1,2,832,0,0,1
19,2017-03-01,RJ1,other,2939,5,0,1
20,2017-03-01,Y03082,other,4068,0,0,1
21,2017-03-01,RQX,1,10300,635,1684,0.94
22,2017-03-01,RY9,other,4676,0,0,1
23,2017-03-01,RYJ,1,10020,2632,3270,0.74
24,2017-03-01,RYJ,2,4274,68,12,0.98
25,2017-03-01,RYJ,other,11156,190,0,0.98
26,2017-03-01,RJZ,1,17810,4153,4477,0.77
27,2017-03-01,RJZ,2,2122,1,0,1
28,2017-03-01,RJZ,other,5027,186,0,0.96
29,2017-03-01,RAX,1,9239,968,1839,0.9
30,2017-03-01,RAX,2,1163,4,0,1
31,2017-03-01,RJ2,1,18137,2993,4967,0.83
32,2017-03-01,RJ2,other,6527,113,0,0.98
33,2017-03-01,R1K,1,12137,4874,4659,0.6
34,2017-03-01,R1K,other,16738,126,0,0.99
35,2017-03-01,RP6,2,9020,281,11,0.97
36,2017-03-01,RAT,other,5561,62,0,0.99
37,2017-03-01,RAP,1,15077,2170,2564,0.86
38,2017-03-01,Y02973,other,856,0,0,1
39,2017-03-01,AF003,other,741,0,0,1
40,2017-03-01,AF002,other,657,0,0,1
41,2017-03-01,RAL,1,19072,3267,3872,0.83
42,2017-03-01,RAL,other,3288,0,0,1
43,2017-03-01,Y03047,other,1977,0,0,1
44,2017-03-01,RJ7,1,13430,1667,3814,0.88
45,2017-03-01,RJ7,other,1195,0,0,1
46,2017-03-01,F84747,other,2541,0,0,1
47,2017-03-01,RAS,1,5838,1889,2126,0.68
48,2017-03-01,RAS,other,8448,59,0,0.99
49,2017-03-01,Y03094,other,3125,0,0,1
50,2017-03-01,E84068,other,3373,0,0,1
51,2017-03-01,RKE,1,8528,990,1347,0.88
52,2017-03-01,RRV,1,12059,1252,2182,0.9
53,2017-03-01,Y02147,other,9912,0,0,1
54,2017-03-01,Y03201,other,2414,0,0,1
55,2017-03-01,NL7,other,5592,0,0,1
56,2017-03-01,8J094,other,2644,0,0,1
57,2017-03-01,RDD,1,11981,1075,2468,0.91
58,2017-03-01,RC1,1,6402,306,2022,0.95
59,2017-03-01,M85813,other,3110,0,0,1
60,2017-03-01,RQ3,1,5732,173,920,0.97
61,2017-03-01,RJF,1,5360,272,1870,0.95
62,2017-03-01,RJF,other,4580,0,5,1
63,2017-03-01,RGT,1,9567,766,3318,0.92
